title,genres,summary,vote_average,popularity,release_date
Black Panther,Action Adventure Sci-Fi,A new king protects a hidden advanced nation while confronting a challenger with a painful past.,7.3,84,2018-02-16
Iron Man,Action Adventure Sci-Fi,A billionaire engineer builds a high-tech armored suit after escaping captivity.,7.9,85,2008-05-02
The Avengers,Action Adventure Sci-Fi,Superheroes unite to stop an alien invasion led by a dangerous villain.,8.0,90,2012-05-04
Spider-Man Into the Spider-Verse,Animation Action Adventure,A teenager becomes Spider-Man and teams up with heroes from other dimensions.,8.4,79,2018-12-14
The Godfather,Crime Drama,The aging patriarch of a crime family transfers power to his reluctant son.,9.2,89,1972-03-24
Goodfellas,Biography Crime Drama,A young man rises through organized crime and faces the consequences of loyalty and violence.,8.7,83,1990-09-19
Pulp Fiction,Crime Drama,Interconnected stories of criminals unfold with violence dark humor and unexpected turns.,8.9,88,1994-10-14
Whiplash,Drama Music,A driven jazz drummer endures an abusive teacher while pursuing greatness.,8.5,78,2014-10-10
The Silence of the Lambs,Crime Drama Thriller,A young FBI trainee seeks help from an imprisoned cannibal to catch a serial killer.,8.6,82,1991-02-14
Get Out,Horror Mystery Thriller,A young Black man visits his girlfriend's family and discovers a disturbing secret.,7.8,78,2017-02-24
A Quiet Place,Drama Horror Sci-Fi,A family survives in silence while hiding from creatures that hunt by sound.,7.5,75,2018-04-06
The Conjuring,Horror Mystery Thriller,Paranormal investigators help a family terrorized by a dark presence in their farmhouse.,7.5,70,2013-07-19
Shutter Island,Mystery Thriller,A detective investigates a disappearance at a remote mental hospital and questions reality.,8.2,77,2010-02-19
Memento,Mystery Thriller,A man with short-term memory loss uses notes and tattoos to hunt his wife's killer.,8.4,73,2000-10-11
